91th results => Agent cycle: 160, Added: 2556, InQLoss: 19.4201, ExQLoss: 0.0081, EmbeddingLoss: 1.5643, LifeLongLoss: 0.00000001 
92th results => Agent cycle: 156, Added: 2833, InQLoss: 19.3642, ExQLoss: 0.0070, EmbeddingLoss: 1.5698, LifeLongLoss: 0.00000001 
93th results => Agent cycle: 153, Added: 2809, InQLoss: 18.2129, ExQLoss: 0.0079, EmbeddingLoss: 1.5719, LifeLongLoss: 0.00000001 
94th results => Agent cycle: 157, Added: 5314, InQLoss: 18.4059, ExQLoss: 0.0077, EmbeddingLoss: 1.5565, LifeLongLoss: 0.00000001 
95th results => Agent cycle: 161, Added: 2826, InQLoss: 15.7835, ExQLoss: 0.0067, EmbeddingLoss: 1.5807, LifeLongLoss: 0.00000003 
96th results => Agent cycle: 155, Added: 2796, InQLoss: 14.7081, ExQLoss: 0.0074, EmbeddingLoss: 1.5808, LifeLongLoss: 0.00000002 
97th results => Agent cycle: 163, Added: 2864, InQLoss: 14.0865, ExQLoss: 0.0064, EmbeddingLoss: 1.5802, LifeLongLoss: 0.00000001 
98th results => Agent cycle: 146, Added: 2449, InQLoss: 14.2041, ExQLoss: 0.0068, EmbeddingLoss: 1.5752, LifeLongLoss: 0.00000002 
99th results => Agent cycle: 170, Added: 5390, InQLoss: 11.5116, ExQLoss: 0.0064, EmbeddingLoss: 1.5717, LifeLongLoss: 0.00000002 
100th results => Agent cycle: 179, Added: 2735, InQLoss: 11.5256, ExQLoss: 0.0059, EmbeddingLoss: 1.5763, LifeLongLoss: 0.00000002 
101th results => Agent cycle: 174, Added: 2763, InQLoss: 10.4990, ExQLoss: 0.0051, EmbeddingLoss: 1.5686, LifeLongLoss: 0.00000002 
102th results => Agent cycle: 179, Added: 2755, InQLoss: 10.1184, ExQLoss: 0.0055, EmbeddingLoss: 1.5907, LifeLongLoss: 0.00000003 
103th results => Agent cycle: 176, Added: 2855, InQLoss: 9.0396, ExQLoss: 0.0060, EmbeddingLoss: 1.5950, LifeLongLoss: 0.00000002 
104th results => Agent cycle: 162, Added: 2660, InQLoss: 9.6360, ExQLoss: 0.0059, EmbeddingLoss: 1.5841, LifeLongLoss: 0.00000002 
105th results => Agent cycle: 151, Added: 2671, InQLoss: 11.0260, ExQLoss: 0.0066, EmbeddingLoss: 1.5760, LifeLongLoss: 0.00000002 
106th results => Agent cycle: 166, Added: 2657, InQLoss: 10.4795, ExQLoss: 0.0068, EmbeddingLoss: 1.5878, LifeLongLoss: 0.00000002 
107th results => Agent cycle: 148, Added: 2508, InQLoss: 9.9088, ExQLoss: 0.0069, EmbeddingLoss: 1.6071, LifeLongLoss: 0.00000002 
108th results => Agent cycle: 172, Added: 5073, InQLoss: 9.7111, ExQLoss: 0.0071, EmbeddingLoss: 1.5853, LifeLongLoss: 0.00000002 
109th results => Agent cycle: 163, Added: 2923, InQLoss: 10.2576, ExQLoss: 0.0067, EmbeddingLoss: 1.5910, LifeLongLoss: 0.00000002 
110th results => Agent cycle: 171, Added: 2637, InQLoss: 10.5783, ExQLoss: 0.0068, EmbeddingLoss: 1.5968, LifeLongLoss: 0.00000002 
111th results => Agent cycle: 178, Added: 2896, InQLoss: 10.2703, ExQLoss: 0.0074, EmbeddingLoss: 1.5869, LifeLongLoss: 0.00000003 
112th results => Agent cycle: 189, Added: 2872, InQLoss: 9.6307, ExQLoss: 0.0062, EmbeddingLoss: 1.5946, LifeLongLoss: 0.00000002 
113th results => Agent cycle: 183, Added: 2549, InQLoss: 11.9517, ExQLoss: 0.0090, EmbeddingLoss: 1.5977, LifeLongLoss: 0.00000002 
114th results => Agent cycle: 186, Added: 2860, InQLoss: 10.6517, ExQLoss: 0.0071, EmbeddingLoss: 1.5967, LifeLongLoss: 0.00000002 
115th results => Agent cycle: 187, Added: 2864, InQLoss: 10.8800, ExQLoss: 0.0069, EmbeddingLoss: 1.5841, LifeLongLoss: 0.00000002 
116th results => Agent cycle: 188, Added: 2703, InQLoss: 10.5552, ExQLoss: 0.0074, EmbeddingLoss: 1.5937, LifeLongLoss: 0.00000002 
